County,District Name,BP: 6142.5 Environmental Education,BP 6142.5 Link to Policy,Path to PDF,PDF Text
Alameda,Alameda Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=RMyEslsh2w7M6uC29DMjWzVPg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,Alameda_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  08252009  last revised date  03222022  last reviewed date  03222022 governing board recognizes schools play crucial role educating students relationship humans natural world preparing skills  knowledge  principles needed solve environmental problems  board believes students understand ecological systems impact human action systems  including  limited  climate change  district s environmental education program shall promote environmental literacy shall prepare students stewards natural resources live environmentally sustainable lifestyle  district s local control accountability plan may include local goals priorities environmental literacy  district s environmental education program may taught across district curriculum science  historysocial science  english language arts  health   extent practicable  mathematics  instruction shall aligned stateadopted standards curriculum frameworks may include  limited  interactions interdependence human societies natural systems  people s dependence influence natural systems  ways natural systems change people benefit influence change  fact boundaries prevent matter flowing systems  fact decisions affecting resources natural systems complex involve many factors  district s program may also provide active student participation onsite resource conservation management programs promotion service learning partnerships  superintendent designee may collaborate local educational agencies andor communitybased organizations enhance curriculum learning experiences provided students  superintendent designee shall ensure environmentbased learning experiences made available equitable basis environmental literacy curriculum reflects linguistic  ethnic  socioeconomic diversity california  appropriate  superintendent designee shall provide professional development teachers development effective implementation curriculum activities inside outside classroom promote environmental literacy  board policy manual alameda unified school district
Alameda,Berkeley Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030527&revid=9Yg1ER1LWULt9slsh9t8kAxmQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,Berkeley_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  10062004  last reviewed date  10062004 governing board recognizes schools play crucial role educating students environmental issues preparing stewards natural resources  quality life future generations depend upon students  willingness ability solve today s environmental problems prevent new ones developing  board desires offer environmental education fosters attitudes personal responsibility toward environment provides students concepts  knowledge skills needed contribute meaningfully decisions involving environment resources  grade levels  environmental facts taught relate  students understand basic ecological principles appreciate interrelated nature living processes  effect human activities ecological relationships  interdependence humanity nature  board also recognizes interactive handson experiences natural world empower students actively investigate ecological principles sustain environment  use experiential learning opportunities school gardens cooking classes  students better understand food comes food choices families make impact health larger social natural communities within live  board encourages staff integrate garden  nutrition education  cooking eating experiences  energy renewable energy experiences curriculum math  science  social studies language arts grade levels  board encourages school  cafeteria classroom based activities encourage students recycle  conserve water energy  use biodegradable materials possible  dispose wastes environmentally sound way  board encourages staff provide students opportunities increase understanding science interdependence living things study endangered species local habitats participation projects related study  board education also encourages staff establish relationships local farms farmers arm workers visit school classrooms students visit farms  students shall offered opportunity participate outdoor education programs  board policy manual berkeley unified school district
Alameda,Castro Valley Unified,1.0,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=CCQQSL6AB9C2,Castro_Valley_Unified_BP6142.pdf,book board policies section 6000  instruction title environmental education code 61425 status active adopted december 12  2013 last revised march 9  2022 environmental education governing board recognizes schools play crucial role educating students relationship humans natural world preparing skills  knowledge  principles needed solve environmental problems  board believes students understand ecological systems impact human action systems  including  limited  climate change  district s environmental education program shall promote environmental literacy shall prepare students stewards natural resources live environmentally sustainable lifestyle    district s local control accountability plan may include local goals priorities environmental literacy   district s environmental education program may taught across district curriculum science  history social science  english language arts  health   extent practicable  mathematics  instruction shall aligned stateadopted standards curriculum frameworks may include  limited  interactions interdependence human societies natural systems  people s dependence influence natural systems  ways natural systems change people benefit influence change  fact boundaries prevent matter flowing systems  fact decisions affecting resources natural systems complex involve many factors      district s program may also provide active student participation onsite resource conservation management programs promotion service learning partnerships  superintendent designee may collaborate local educational agencies andor communitybased organizations enhance curriculum learning experiences provided students         superintendent designee shall ensure environmentbased learning experiences made available equitable basis environmental literacy curriculum reflects linguistic  ethnic  socioeconomic diversity california    appropriate  superintendent designee shall provide professional development teachers development effective implementation curriculum activities inside outside classroom promote environmental literacy
Alameda,Emery Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030774&revid=dbn5GKJRYb9YTho2Qrrciw==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,Emery_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  12062004  last reviewed date  12062004 board education recognizes schools play crucial role educating students environmental issues preparing stewards natural resources  quality life future generations depend upon students  willingness ability solve today s environmental problems prevent new ones developing  board desires offer environmental education fosters attitudes personal responsibility toward environment provides students concepts  knowledge skills needed contribute meaningfully decisions involving environment resources  grade levels  environmental facts taught relate  students understand basic ecological principles appreciate interrelated nature living processes  effect human activities ecological relationships  interdependence humanity nature  board encourages school classroom activities encourage students recycle  conserve water energy  use biodegradable materials possible  dispose wastes environmentally sound way  board encourages staff provide students opportunities increase understanding science interdependence living things study endangered species local habitats participation projects related study  students shall offered opportunity participate outdoor education programs  board policy manual emery unified school district
Alameda,New Haven Unified,1.0,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,New_Haven_Unified_BP6142.pdf,book board policies section 6000 instruction title environmental education code 61425 status active adopted september 13  2022 electronic signatures governing board believes use electronic records signatures convenient paperless option increase efficiency commercial administrative transactions  reduce costs  contribute environmental sustainability district operations  board authorizes use electronic signatures district operations authorized law  superintendent designee shall ensure electronic signature utilized district conforms criteria described law level security sufficient transaction conducted   government code 165  2 ccr 22003  22005  superintendent designee shall retain electronic records accordance law regulations  specified bpar 3580  district records
Alameda,Oakland Unified,1.0,https://boepublic.ousd.org/Policies.aspx,,oakland unified school district board policy instruction bp 61425 environmental climate change literacy governing board recognizes schools play crucial role educating students environmental issues preparing stewards natural environment  upon life human endeavor depends  board recognizes climate change greatest challenge facing future generations critical role education play preparing future citizens actively engaged working together create solutions problem  board acknowledges complexity problem  multidisciplinary approach required achieve necessary changes foster environmental climate change literacy  eccl  avert reduce severe irreversible harmful effects climate change  climate literate citizen understands influence climate climate s influence society  components district s climate change literacy curriculum shall include   understanding essential principles earth s climate system  knowing assess scientifically credible information climate  communicating climate climate change meaningful way   understanding humans responded environmental challenges past order make informed responsible decisions present climate crisis1  integrating project based approach incorporates scientific causes effects climate change economic  political  social  cultural factors  social emotional learning components provide positive  actionoriented projects create schools sustainability hubs radiate community district sustainability projects district ongoing commitment environmentally sustainable construction initiatives shall incorporated environmental climate change literacy curriculum  examples programs include   living schoolyards initiative  green gloves program  waste reduction  waste sorting  food share  food donation   nutrition services california thursday menu  nutrition services farm school program  center  central kitchen  instructional farm education center  empower energy program  chps schools  solar power installations  wellness program superintendent designee shall develop environmental education program aligned state academic standards curriculum frameworks  board directs superintendent designee provide regulations includes following components  research  review  recommendation curriculum adoption board best practices instruction  ensure articulation science history curricula  assign schedule teachers provide instruction  create resource document teachers use teaching climate literacy develop integrated  actionbased projects  provide ongoing professional development  findpursuedevelop financial resources necessary fully implement goals
Alameda,San Leandro Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=cxvslshslshhU04KnyayYknpWOZA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,San_Leandro_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  06242014  last revised date  04122022  last reviewed date  04122022 governing board recognizes schools play crucial role educating students relationship humans natural world preparing skills  knowledge  principles needed solve environmental problems  board believes students understand ecological systems impact human action systems  including  limited  climate change  district s environmental education program shall promote environmental literacy shall prepare students stewards natural resources live environmentally sustainable lifestyle  district s local control accountability plan may include local goals priorities environmental literacy  district s environmental education program may taught across district curriculum science  historysocial science  english language arts  health   extent practicable  mathematics  instruction shall aligned stateadopted standards curriculum frameworks may include  limited  interactions interdependence human societies natural systems  people s dependence influence natural systems  ways natural systems change people benefit influence change  fact boundaries prevent matter flowing systems  fact decisions affecting resources natural systems complex involve many factors  district s program may also provide active student participation onsite resource conservation management programs promotion service learning partnerships  superintendent designee may collaborate local educational agencies andor communitybased organizations enhance curriculum learning experiences provided students  superintendent designee shall ensure environmentbased learning experiences made available equitable basis environmental literacy curriculum reflects linguistic  ethnic  socioeconomic diversity california  appropriate  superintendent designee shall provide professional development teachers development effective implementation curriculum activities inside outside classroom promote environmental literacy  board policy manual san leandro unified school district
Alameda,San Lorenzo Unified,1.0,https://4.files.edl.io/e202/06/29/18/021322-c4b36038-7778-442f-8985-4c6930da02d7.pdf,San_Lorenzo_Unified_BP6142.pdf,san lorenzo unified school district board policy instruction bp 61425 environmental education governing board recognizes schools play crucial role educating students importance environment preparing stewards natural resources  board believes students value environment  respect life forms  understand basic ecological principles support planet  live ecologically responsible life style  superintendent designee shall develop environmental education program aligned state academic standards curriculum frameworks  superintendent designee shall determine district s environmental education program integrated district s science curriculum subjects courses concepts may explicitly systematically taught  goal district s environmental education program shall provide students understanding interactions interdependence human societies natural systems  people s dependence influence natural systems  ways natural systems change people benefit influence change  fact boundaries prevent matter flowing systems  fact decisions affecting resources natural systems complex involve many factors  district s program shall emphasize coordination instructional resources active student participation onsite resource conservation management programs promotion service learning partnerships
Alameda,Dublin Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030635&revid=ECoEadlNgjbOeZ5Mslshze3Tg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,Dublin_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  03272007  last reviewed date  03272007 board education recognizes schools play crucial role educating students environmental issues preparing stewards natural resources  quality life future generations depend upon students  willingness ability solve today s environmental problems prevent new ones developing  board desires offer environmental education fosters attitudes personal responsibility toward environment provides students concepts  knowledge skills needed contribute meaningfully decisions involving environment resources  grade levels  environmental facts taught relate  students understand basic ecological principles appreciate interrelated nature living processes  effect human activities ecological relationships  interdependence humanity nature  board encourages school classroom activities encourage students recycle  conserve water energy  use biodegradable materials possible  dispose wastes environmentally sound way  board encourages staff provide students opportunities increase understanding science interdependence living things study endangered species local habitats participation projects related study  students shall offered opportunity participate outdoor education programs  board policy manual dublin unified school district
Alameda,Pleasanton Unified,1.0,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030382&revid=9uIqF6uRJplusMcPrqWhMLE7w==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,Pleasanton_Unified_BP6142.pdf,policy 61425  environmental education status  adopted original adopted date  04272023  last reviewed date  04272023 governing board recognizes schools play crucial role educating students importance environment preparing stewards natural resources  board believes students value environment  respect life forms  understand basic ecological principles support planet  live ecologically responsible lifestyle  superintendent designee shall develop environmental education program aligned state academic standards curriculum frameworks  superintendent designee shall determine district s environmental education program integrated district s science curriculum subjects courses concepts may explicitly systematically taught  goal district s environmental education program shall provide students understanding interactions interdependence human societies natural systems  people s dependence influence natural systems  ways natural systems change people benefit influence change  fact boundaries prevent matter flowing systems  fact decisions affecting resources natural systems complex involve many factors  district s program shall emphasize coordination instructional resources active student participation onsite resource conservation management programs promotion service learning partnerships  board policy manual pleasanton unified school district
