,Unnamed: 0,CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 3511.1 Integrated Waste Management,BP 3511.1 Year Adopted,BP 3511.1 Year of Policy Update if applicable,BP 3511.1 Link to Policy,AR: 3511.1 Integrated Waste Management Regulation,AR 3511.1 Year Adopted,AR 3511.1 Year of Policy Update if applicable,AR 3511.1 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP3511.1: Path to PDF,BP3511.1: PDF Text,AR3511.1: Path to PDF,AR3511.1: PDF Text,AR3514 PDF Name,AR3511.1 PDF Name
0,0,1611190000000,Alameda,Alameda Unified,Suburban,Unified School District,10557,41,1,2012,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=gKZDTKAMbrpujkslshEpEIvMg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2009,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=sHIicWVsY01XTCvckW4LOA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,0.0,1,1,0,1,2.0,7.5,1,11.0,2.5,3.0,1.5,14.0,Alameda_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Alameda_Unified_Alameda_AR3511.1.pdf, applicable area district operation superintendent designee shall design integrated waste management program complies state law county ordinance ab ab sb help minimize generation waste encourages recovery diversion reusable material waste stream improves efficiency utilization natural material resource protects environment program shall implement measure andor practice reduce consumption disposable material increase composting organic material meet state threshold fully utilize material prior disposal recycle material paper glass plastic aluminum prefer recycled biodegradable environmentally preferable product procuring material use district school building contracting construction modernization district building minimize use nonbiodegradable material work vendor contractor use packaging delivery material generate less waste recycling school site district facility generates four cubic yard solid waste per week shall take least one following action public resource code source separate recyclable material solid waste subscribe basic level recycling service includes collection selfhauling arrangement pickup recyclable material subscribe recycling service may include mixed waste processing yield diversion result comparable source separation school site district facility generates two cubic yard per week solid waste recyclables organic shall arrange recycling service specifically organic waste including food waste green waste landscape pruning waste nonhazardous wood waste foodsoiled paper waste mixed food waste facility shall take least one following action public resource code source separate organic waste waste subscribe basic level organic waste recycling service includes collection recycling organic waste recycle organic waste onsite selfhaul organic waste recycling subscribe organic waste recycling service may include waste stream recycle landfill make arrangement sell donate recyclable organic waste material school site district facility meet threshold solid organic waste shall place recycling bin container solid organic waste applicable area food material purchased facility immediate consumption recycling bin container shall public resource code adjacent bin container nonrecyclable trash except restroom visible easily accessible clearly marked educational signage indicating appropriate item placed recycling bin container accordance state law local jurisdiction waste ordinance practice,Alameda_Unified_Alameda_AR3511.1.pdf,Alameda_Unified_Alameda_AR3511.1.pdf
1,1,1611270000000,Alameda,Albany City Unified,Suburban,Unified School District,3574,37,1,2013,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030672&revid=cslshcfplusUuplusKb9CYJ7wLfslhg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,0.0,,,,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.5,7.0,3,11.5,1.5,3.0,2.0,15.0,Albany_City_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Albany_City_Unified_Alameda_AR3511.1.pdf,nan,Albany_City_Unified_Alameda_AR3511.1.pdf,Albany_City_Unified_Alameda_AR3511.1.pdf
2,2,1611500000000,Alameda,Castro Valley Unified,Suburban,Unified School District,9489,43,1,2011,2022,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=CCQQDQ684933,1.0,2011,2022,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=CCQQDS68589B,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.5,10.5,Castro_Valley_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Castro_Valley_Unified_Alameda_AR3511.1.pdf,pm boarddocs plus book board policy section business noninstructional operation title integrated waste management code ar status active adopted march last revised march integrated waste management applicable area district operation superintendent designee shall design integrated waste management program minimizes generation waste encourages recovery diversion reusable material waste stream improves efficiency utilization natural material resource protects environment program shall implement measure andor practice reduce consumption disposable material increase composting organic material fully utilize material prior disposal cf green school operation recycle material paper glass plastic aluminum prefer recycled biodegradable environmentally preferable product procuring material use district school building contracting construction modernization district building cf expenditure purchase cf bid cf contract cf facility master plan work city county government agency locate market district reusable recyclable material cf relation governmental agency school cf relation local agency minimize use nonbiodegradable material work vendor contractor use packaging delivery material generate less waste recycling school site district facility generates four cubic yard solid waste per week shall take least one following action public resource code http goboarddocscomcacastrovalleyboardnsfgoto open idccqqds68589b pm boarddocs plus source separate recyclable material solid waste subscribe basic level recycling service includes collection selfhauling arrangement pickup recyclable material subscribe recycling service may include mixed waste processing yield diversion result comparable source separation school site district facility generates two cubic yard per week solid waste recyclables organic shall arrange recycling service specifically organic waste including food waste green waste landscape pruning waste nonhazardous wood waste foodsoiled paper waste mixed food waste facility shall take least one following action public resource code source separate organic waste waste subscribe basic level organic waste recycling service includes collection recycling organic waste recycle organic waste onsite selfhaul organic waste recycling subscribe organic waste recycling service may include mixed waste processing specifically recycles organic waste make arrangement sell donate recyclable organic waste material school site district facility meet threshold solid organic waste shall place recycling bin container solid organic waste applicable area food material purchased facility immediate consumption recycling bin container shall public resource code adjacent bin container nonrecyclable trash except restroom visible easily accessible clearly marked educational signage indicating appropriate item placed recycling bin container accordance state law local jurisdiction waste ordinance practice http goboarddocscomcacastrovalleyboardnsfgoto open idccqqds68589b,Castro_Valley_Unified_Alameda_AR3511.1.pdf,Castro_Valley_Unified_Alameda_AR3511.1.pdf
3,3,1611680000000,Alameda,Emery Unified,Suburban,Unified School District,600,81,1,2004,2004,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030774&revid=HS1FgthT0pJqjrgdeqEiaA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2004,2018,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030774&revid=OHjMslshKmQ64Fj3zWD9i6DeQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,0,1,1.0,1.0,0,0.0,0.0,1,1,0,0,0.0,3.0,0,3.0,0.0,2.5,0.5,6.0,Emery_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Emery_Unified_Alameda_AR3511.1.pdf, board trustee belief conservation water energy natural resource well protection environment essential health wellbeing community superintendent designee shall develop integrated waste management program reduce waste conserve natural resource protect environment purpose purpose policy establish waste reduction resource recovery policy reduce district landfill footprint policy designed provide guidance preserve resource comply state local law related waste management resource recovery goal district goal develop resource recovery program engages staff student parent surrounding community steward environment reduce amount recyclables compostables sent landfill background california mandatory recycling lawab ab state california established recycling goal including source reduction recycling composting according california department resource recycling recovery calrecycle waste characterization report half school waste stream organicscompostable followed paper assembly bill effective july requires business public entity including school school district generate four cubic yard waste recycle assembly bill effective april requires business public entity including school school district generate specific amount organic waste divert material landfill responsibility district facility school comply state local law relating waste management make resource conservation integral part physical operation curriculum school district district facility school shall evaluate waste stream identify waste reduction opportunity replace disposable reusable whenever possible b reuse donate material whenever possible c solicit use recycled environmentally preferable product procurement process appropriate ensure proper handling disposal hazardous waste hazardous waste includes limited paint solvent pesticide fluorescent light bulb lubricant vehicle battery household battery etc encourage promote 4r reduce reuse recycle rot prevent recyclables compostables going landfill collect recyclables every district facility office classroom lunchroom kitchen recyclables include cardboard nonfoodsoiled paper office paper onetime use glass soda bottle metal aluminum steel rigid plastic ii collect compostables every district facility kitchen restroom eating areacompostables include food scrap foodsoiled paper paper towel shredded paper untreated wood plant debris b ensure site subscribes recycling green waste service c educate student teacher administrator classified staff go engage staff parent student serve model district unity influence waste prevention recycling procurement effort promote waste reduction resource recovery effort accomplishment social medium newsletter assembly b establish partnership local agency stopwaste alameda county office education c encourage extracurricular activity student lead waste audit campus beautification clean project reusable good collection drive local charity superintendentdesignee shall establish maintain recycling committee include teacher administrator classified staff local partner meet annually review district waste reduction resource recovery effort suggest recommendation promote resource conservation committee may present annual report board work vendor contractor use packaging delivery material generate less waste work city county government agency locate market district reusable recyclable material,Emery_Unified_Alameda_AR3511.1.pdf,Emery_Unified_Alameda_AR3511.1.pdf
4,4,1611760000000,Alameda,Fremont Unified,Suburban,Unified School District,33063,33,0,,,,1.0,1986,1986,*District Validated,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,7.5,2,11.0,1.5,3.0,2.5,14.0,,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Fremont_Unified_Alameda_AR3511.1.pdf,nan,Fremont_Unified_Alameda_AR3511.1.pdf,Fremont_Unified_Alameda_AR3511.1.pdf
5,5,1611920000000,Alameda,Hayward Unified,Suburban,Unified School District,20190,82,1,1995,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=lfPURbH3mAocddXzjotJBA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,1995,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=4ML083qfWYBzFdeD26wRRQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,1,1.0,1.0,1,0.0,1.0,1,0,0,0,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,Hayward_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Hayward_Unified_Alameda_AR3511.1.pdf, applicable area district operation superintendent designee shall design integrated waste management program minimizes generation waste encourages recovery diversion reusable material waste stream improves efficiency utilization natural material resource protects environment program shall implement measure andor practice reduce consumption disposable material increase composting organic material fully utilize material prior disposal recycle material paper glass plastic aluminum school site district facility generates four cubic yard commercial solid waste per week shall take least one following action public resource code ccr source separate recyclable material solid waste subscribe basic level recycling service may include collection selfhauling arrangement pickup recyclable material b subscribe recycling service may include mixed waste processing yield diversion result comparable source separation prefer recycled environmentally preferable product procuring material use district school building contracting construction modernization district building work city county government agency locate market district reusable recyclable material minimize use nonbiodegradable material work vendor contractor use packaging delivery material generate less waste,Hayward_Unified_Alameda_AR3511.1.pdf,Hayward_Unified_Alameda_AR3511.1.pdf
6,6,1612420000000,Alameda,New Haven Unified,Suburban,Unified School District,10045,61,1,2019,2021,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,1.0,2019,2021,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,3.0,0,1,1,1.0,1.0,0,0.0,0.0,1,0,0,0,1.0,4.5,0,5.0,0.5,2.5,1.0,8.0,New_Haven_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/New_Haven_Unified_Alameda_AR3511.1.pdf,pm boarddocs plus book board policy section business title integrated waste management code status active adopted april last revised november integrated waste management governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary,New_Haven_Unified_Alameda_AR3511.1.pdf,New_Haven_Unified_Alameda_AR3511.1.pdf
7,7,1612590000000,Alameda,Oakland Unified,Urban,Unified School District,45040,82,1,2004,2004,https://boepublic.ousd.org/Policies.aspx,1.0,2004,2004,https://boepublic.ousd.org/Policies.aspx,3.0,1,1,1,1.0,1.0,0,1.0,1.0,1,0,1,1,2.0,6.0,0,7.0,1.0,3.0,1.0,10.0,Oakland_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/Oakland_Unified_Alameda_AR3511.1.pdf,oakland unified school district administrative regulation ar business noninstructional operation integrated waste management ensure efficient utilization natural material resource superintendent designee shall work towards instituting following measure andor practice reduce waste generation reducing consumption disposable material composting organic material fully utilizing material prior disposal recycle material paper glass plastic aluminum minimize use non biodegradable product prefer recycled environmentally preferable product procuring material use district school building contracting construction modernization district building cf purchasing procedure cf bid cf contract cf facility master plan work vendor contractor use packaging delivery material generate less waste work city county government agency locate market district reusable recyclable material cf relation governmental agency school cf relation local agency,Oakland_Unified_Alameda_AR3511.1.pdf,Oakland_Unified_Alameda_AR3511.1.pdf
8,8,1612910000000,Alameda,San Leandro Unified,Suburban,Unified School District,8741,79,1,2014,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=SqIGSv4w4X1oEEILHTpluseqQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2014,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=SqIGSv4w4X1oEEILHTpluseqQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,0.0,0.0,0,1,0,1,2.0,7.0,3,11.0,1.0,3.0,1.5,13.5,San_Leandro_Unified_BP3511_1.pdf,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/San_Leandro_Unified_Alameda_AR3511.1.pdf,ppoolliiccyy iinntteeggrraatteedd wwaassttee mmaannaaggeemmeenntt ssttaattuuss  llaasstt rreevviieewweedd ddaattee governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary,San_Leandro_Unified_Alameda_AR3511.1.pdf,San_Leandro_Unified_Alameda_AR3511.1.pdf
9,9,1613090000000,Alameda,San Lorenzo Unified,Suburban,Unified School District,9235,82,0,,,,1.0,2008,2008,https://4.files.edl.io/d890/06/29/18/020938-8ddc6ea6-63aa-4ba7-bd68-ee5fc321487c.pdf,3.0,1,1,1,1.0,1.0,1,0.0,0.0,1,1,1,1,2.0,6.5,0,6.5,0.0,3.0,1.5,9.5,,,/Users/sooyeonkim/Desktop/TenStrands/Policy-Language-Analysis/data/AR_3511.1/San_Lorenzo_Unified_Alameda_AR3511.1.pdf,san lorenzo unified school district administrative regulation business noninstructional operation ar integrated waste management recycle program ensure efficient utilization natural material resource superintendent designee shall work towards instituting following measure andor practice reduce waste generation reducing consumption disposable material composting organic material fully utilizing material prior disposal recycle material paper glass plastic aluminum minimize use nonbiodegradable product consider recycled environmentally preferable product procuring material use district school building contracting construction modernization district building work city county government agency locate market district reusable recyclable material board adopted october,San_Lorenzo_Unified_Alameda_AR3511.1.pdf,San_Lorenzo_Unified_Alameda_AR3511.1.pdf
