,CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 7111 Evaluating Existing Buildings,BP 7111 Year Adopted,BP 7111 Year of Policy Update if applicable,BP 7111 Link to Policy,AR: 7111 Evaluating Existing Buildings,AR 7111 Year Adopted,AR 7111 Year of Policy Update if applicable,AR 7111 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP7111: Path to PDF,BP7111: PDF Text
0,1611190000000,Alameda,Alameda Unified,Suburban,Unified School District,10557,41,0.0,,,,1.0,2009,2009,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=fUEAaQwDULd56I0Onag0Rg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,0.0,1,1,0,1,2.0,7.5,1,11.0,2.5,3.0,1.5,14.0,,
1,1611270000000,Alameda,Albany City Unified,Suburban,Unified School District,3574,37,0.0,,,,1.0,2009,2009,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030672&revid=0MNslshzslsh8hi0MnlV5cSQplusrHg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.5,7.0,3,11.5,1.5,3.0,2.0,15.0,,
2,1611500000000,Alameda,Castro Valley Unified,Suburban,Unified School District,9489,43,1.0,2001,2012,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=BZ2ULD7C908E,1.0,2001,2012,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=BZ2ULD7C908E,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.5,10.5,Castro_Valley_Unified_BP7111.pdf,"Book Board Policies Section 7000 - Facilities Title Evaluating Existing Buildings Code 7111 Status Active Adopted August 23, 2001 Last Revised June 28, 2012 EVALUATING EXISTING BUILDINGS     The adequacy and design of all existing school facilities shall be evaluated periodically in terms of meeting the needs of the instructional program and fulfilling the requirements of law regarding safety and structural soundness, accessibility to the individuals with disabilities and energy conservation.   A primary consideration in evaluating existing facilities shall be the preservation of a healthful environment for students and staff as well as providing an aesthetically pleasing learning and working atmosphere.   In the evaluation of existing buildings, the installation of energy conserving devices, including insulation or the implementation of other design modifications, shall be considered as permitted by law for purposes of reducing energy costs.     Legal Reference: EDUCATION CODE 17070.10-17077.10  Leroy F. Greene School Facilities Act of 1998, especially: 17071.10-17071.40  Existing school building capacity 17280-17316  Building approvals 17365-17374  Fitness for occupancy 17650-17653  Retrofitting school facilities for energy conservation GOVERNMENT CODE 53097  Compliance with city or county ordinances 53097.5  Inspection of schools by city or county CODE OF REGULATIONS, TITLE 2 1859-1859.106  Regulations relating to the Leroy F. Greene School Facilities Act of 1998   Management Resources: CSBA PUBLICATIONS Maximizing School Board Governance: School Facilities Management WEB SITES CSBA:  http://www.csba.org California Department of Education, School Facilities Division: http://www.cde.ca.gov/ls/fa California Energy Commission, Bright Schools Program: http://www.energy.ca.gov/efficiency/brightschools Coalition for Adequate School Housing: http://www.cashnet.org Department of General Services, Office of Public School Construction:  http://www.opsc.dgs.ca.gov "
3,1611760000000,Alameda,Fremont Unified,Suburban,Unified School District,33063,33,0.0,,,,0.0,,,,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,7.5,2,11.0,1.5,3.0,2.5,14.0,,
4,1611920000000,Alameda,Hayward Unified,Suburban,Unified School District,20190,82,0.0,,,,1.0,2013,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=gspI3Fv7o4dx6erwzZxIkA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,1,1.0,1.0,1,0.0,1.0,1,0,0,0,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,,
5,1612000000000,Alameda,Livermore Valley Joint Unified,Urban,Unified School District,13019,27,0.0,,,,1.0,2008,2008,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=OwsISZBlBS12cW5ow1AZOA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,2.5,0,0,1,1.0,1.0,0,0.0,0.0,0,1,0,1,0.5,4.5,2,8.0,1.5,2.5,1.0,11.0,,
6,1612340000000,Alameda,Newark Unified,Suburban,Unified School District,4828,55,1.0,1996,1996,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030599&revid=I8y2R2DYKtslshJyyAGJplusslshA7Q==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,0.0,,,,3.0,0,0,1,1.0,1.0,0,0.0,0.0,0,0,1,1,2.0,5.0,1,7.5,1.5,2.0,1.0,10.5,Newark_Unified_BP7111.pdf,"Policy 7111: Evaluating Existing Buildings Status: ADOPTED Original Adopted Date: 11/05/1996 The adequacy and design of all existing school facilities shall be evaluated periodically in terms of meeting the needs of the instructional program and fulfilling the requirements of law regarding safety and structural soundness, accessibility to the handicapped and energy conservation. A primary consideration in evaluating existing facilities shall be the preservation of a healthful environment for students and staff as well as providing an aesthetically pleasing learning and working atmosphere. In the evaluation of existing buildings, the installation of energy conserving devices, including insulation or the implementation of other design modifications, shall be considered as permitted by law for purposes of reducing energy costs. Board Policy Manual Newark Unified School District "
7,1612420000000,Alameda,New Haven Unified,Suburban,Unified School District,10045,61,0.0,,,,1.0,2018,2018,https://go.boarddocs.com/ca/nhusd/Board.nsf/files/B9J2XR7B02A4/$file/AR%207111%2012-2018.pdf,3.0,0,1,1,1.0,1.0,0,0.0,0.0,1,0,0,0,1.0,4.5,0,5.0,0.5,2.5,1.0,8.0,,
8,1612750000000,Alameda,Piedmont City Unified,Suburban,Unified School District,2308,4,0.0,,,,1.0,2001,2001,https://docs.google.com/document/d/1ouB3QVLU-emMa6kEJD7fXfx3RyoofDuoVgLCExIpe8Y/edit,3.0,1,0,1,1.0,1.0,1,1.0,1.0,1,0,0,1,1.5,7.5,1,9.5,1.0,3.0,2.5,13.0,,
9,1612910000000,Alameda,San Leandro Unified,Suburban,Unified School District,8741,79,0.0,,,,1.0,2014,2014,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=34mplus9662ULNFUt3aDdJWvg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,0.0,0.0,0,1,0,1,2.0,7.0,3,11.0,1.0,3.0,1.5,13.5,,
